%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=215678, 2017/11/24 11:34:59.78)
88 704 9.397616e-02 0 0 3.193557e-02 8.547757e-03 4.133548e-02 3.676220e-02 
89 712 1.024779e-01 0 0 3.696421e-02 9.135240e-03 4.470927e-02 4.638352e-02 
90 720 9.152072e-02 0 0 3.203359e-02 7.768781e-03 3.973393e-02 4.147313e-02 
91 728 1.024728e-01 0 0 3.956846e-02 8.586289e-03 4.366924e-02 4.719106e-02 
92 736 1.202815e-01 0 0 4.460684e-02 9.668937e-03 5.033356e-02 5.422826e-02 
93 744 1.055646e-01 0 0 3.831224e-02 8.086384e-03 4.273162e-02 4.619266e-02 
94 752 9.249506e-02 0 0 3.218052e-02 6.766711e-03 3.644844e-02 3.887402e-02 
95 760 9.725834e-02 0 0 3.278177e-02 6.763629e-03 4.183602e-02 3.864083e-02 
96 768 1.021912e-01 0 0 3.262066e-02 7.424673e-03 4.468283e-02 4.193257e-02 
97 776 1.021166e-01 0 0 3.120060e-02 7.063924e-03 4.919886e-02 4.057338e-02 
98 784 1.115775e-01 0 0 3.263661e-02 7.647918e-03 5.164101e-02 4.459796e-02 
99 792 9.027880e-02 0 0 2.499107e-02 5.970366e-03 3.991447e-02 3.437365e-02 
100 800 7.557943e-02 0 0 1.973289e-02 4.739033e-03 3.209685e-02 2.720474e-02 
